00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
Distance : 1	D : 0.00	SSD: 0.00M	Speed: 0.00m/s	Angle: 0
